Action ID,Action Name,Action Definition,Action Source,MitigationCode
A0993_Gipiškis2024,Quantifying privacy risks of AI models,"Measuring privacy risks of an AI model allows the provider and user to calibrate their expectations on where the model can be applied, and it allows them to take the necessary steps to reduce such risks.
For example, some metrics include:
• Success rate of membership inference attacks [186] - Measures the rate that an attack correctly predicts a given record is part of the training dataset used to train a given AI model.
• Discoverable memorization [38] - Theoretical upper-bound of the amount of training data that a given model memorizes. Assuming full knowledge of the training data, it measures the percentage of items that, for a given incomplete data point, a model outputs the remaining (memorized) part.",Gipiškis2024,3.1 Testing & Auditing
A0997_Gipiškis2024,Red team access to the final version of a model pre-deployment,"Granting red teams access to the final pre-release version of the model can help with identifying potentially dangerous model properties. These properties might not be identified if red teaming is only performed on earlier versions of the model, as late fine-tuning procedures may introduce new vulnerabilities.
Red-teaming AI models before they are released to the public can reduce the model non-decomissionability risk. The model’s release can be postponed or even prevented if previously unidentified flaws are detected during the testing [65].
",Gipiškis2024,3.1 Testing & Auditing
A0998_Gipiškis2024,Red teaming for GPAI system evaluation,Red teaming refers to simulated adversarial attacks performed to identify and evaluate the model’s vulnerabilities as well as its in-domain and out-of-domain performance.,Gipiškis2024,3.1 Testing & Auditing
A0999_Gipiškis2024,Dynamic benchmarking,"Dynamic benchmarks are benchmarks that can be continuously updated with new human-generated data. By having one or more target models “in the loop,” examples for benchmarking can be generated with the intent of fooling these target models, or to assess if these models express an appropriate level of uncer- tainty [103]. As the dataset in the benchmark grows, previously benchmarked models can also be reassessed against the updated dataset to reflect its perfor- mance in a more representative manner.
Examples of such dynamic benchmarks include DynaSent [153] for sentiment analysis, LFTW [208] for hate speech, and Human-Adversarial VQA [182] for images.",Gipiškis2024,3.1 Testing & Auditing
A1000_Gipiškis2024,Benchmark dataset auditing,Auditing benchmark datasets allows for verification of the utility and limitations of the datasets [158]. This allows the provider to more accurately measure AI model capabilities and safety. Auditing includes the evaluation of such datasets by independent third-party organizations and the release of benchmark dataset metadata to the auditors.,Gipiškis2024,3.1 Testing & Auditing
A1001_Gipiškis2024,Informative and powerful benchmarks,"Developers of GPAI systems can select benchmarks that are difficult enough to be informative about the capabilities of their AI systems, and cover a large spec- trum of domains in order to signal areas where the GPAI system is performing poorly [120].
Suitable benchmarks contain no label errors, are not vulnerable to being bench- mark contaminants, and are often audited by independent domain experts if they contain domain-specific questions. For multimodal GPAI systems, good benchmarks cover every modality, especially the interaction of different modalities.",Gipiškis2024,3.1 Testing & Auditing
A1002_Gipiškis2024,Statistical data quality reports for benchmarks,"If a benchmark dataset is too large to allow for the identification and removal of all flawed instances, statistical reports on the data composition can be added. Random sampling of benchmark data points can be performed to evaluate and report the frequency and types of errors found [54].",Gipiškis2024,3.1 Testing & Auditing
A1003_Gipiškis2024,Avoiding benchmark data with publicly avail- able solutions and releasing contextual information for internet-derived data,"Evaluators can improve the integrity of benchmarks by avoiding data with pub- licly available solutions. When using internet-derived data, supplementing it with contextual information (such as entity linking) may help to better docu- ment and assess the integrity of the collected data [95]. This could help in de- tecting instances where contextual information (which may have been included in the training data) might inadvertently reveal details about the solution, en- suring that the data is suitable for accurate benchmarking.",Gipiškis2024,3.1 Testing & Auditing
A1008_Gipiškis2024,Frequent benchmarking to identify when red teaming is needed,"Benchmarks, once created, are inexpensive to apply but may be less informative than red teaming. One reason is that sensitive data (e.g., relating to CBRN- related capabilities) cannot be included in the public questions and answers of benchmarks. On the other hand, red teaming can be more accurate given par- ticipants with diverse attack strategies, but it requires more resources to execute than benchmarking. If there is a correlation between benchmarking and red- teaming scores, then employing frequent benchmarking during the development of the model can identify arising vulnerabilities and inform the developers when more thorough red teaming is required [21].
Benchmarks can act as early warning signs of a larger issue, and red teaming can then be employed to investigate the severity and extent of such an issue.
",Gipiškis2024,3.1 Testing & Auditing
A1009_Gipiškis2024,Test robustness of GPAI system on relevant benchmarks,"Various benchmarks [52, 236] have been developed to assess the robustness of GPAI systems when deployed in environments or scenarios that differ from their training conditions. These benchmarks typically evaluate the model’s ability to handle variations in inputs, unexpected data distributions, or adversarial examples, aiming to ensure reliable performance outside the original training domain.",Gipiškis2024,3.1 Testing & Auditing
